Window;1;Noise Spectrum;
Trace;1;
1.0000000000;-63.3760490417;
1.0115795135;-63.4957237244;
1.0232930183;-63.6023864746;
1.0351421833;-63.6967544556;
1.0471285582;-63.7911224365;
1.0592536926;-63.8854866028;
1.0715192556;-63.9798545837;
1.0839269161;-64.0750961304;
1.0964782238;-64.1729660034;
1.1091748476;-64.2708435059;
1.1220184565;-64.3687133789;
1.1350108385;-64.4665832520;
1.1481536627;-64.5815963745;
1.1614485979;-64.7398757935;
1.1748975515;-64.8981628418;
1.1885021925;-65.0564422607;
1.2022644281;-65.2147216797;
1.2161860466;-65.4380722046;
1.2302688360;-65.7071151733;
1.2445145845;-65.9761505127;
1.2589254379;-66.2451858521;
1.2735030651;-66.5338287354;
1.2882494926;-66.9511489868;
1.3031667471;-67.3684692383;
1.3182567358;-67.7857894897;
1.3335214853;-68.2031173706;
1.3489629030;-68.7704238892;
1.3645831347;-69.3554458618;
1.3803843260;-69.9404678345;
1.3963683844;-70.5254898071;
1.4125375748;-71.1530151367;
1.4288939238;-71.7878189087;
1.4454398155;-72.4226303101;
1.4621771574;-73.0574340820;
1.4791084528;-73.1348571777;
1.4962356091;-73.2081680298;
1.5135612488;-73.2814788818;
1.5310875177;-73.1291732788;
1.5488165617;-72.4402389526;
1.5667510033;-71.7513046265;
1.5848932266;-71.0623626709;
1.6032453775;-70.3124008179;
1.6218100786;-69.5421218872;
1.6405898333;-68.7718353271;
1.6595869064;-68.0550231934;
1.6788040400;-67.4403915405;
1.6982436180;-66.8257598877;
1.7179083824;-66.2213058472;
1.7378008366;-65.7620468140;
1.7579236031;-65.3027954102;
1.7782794237;-64.8435363770;
1.7988709211;-64.5253753662;
1.8197008371;-64.2217483521;
1.8407719135;-63.9181175232;
1.8620871305;-63.7796173096;
1.8836491108;-63.6683082581;
1.9054607153;-63.5569953918;
1.9275249243;-63.6574020386;
1.9498445988;-63.7777328491;
1.9724227190;-63.9120407104;
1.9952623844;-64.2444458008;
2.0183663368;-64.5768432617;
2.0417380333;-64.9270401001;
2.0653800964;-65.3171691895;
2.0892961025;-65.7072906494;
2.1134889126;-65.9876251221;
2.1379621029;-66.2049713135;
2.1627185345;-66.4156112671;
2.1877615452;-66.4749984741;
2.2130947113;-66.5343780518;
2.2387211323;-66.6375961304;
2.2646441460;-66.7805328369;
2.2908678055;-66.9395141602;
2.3173947334;-67.2889022827;
2.3442287445;-67.6382904053;
2.3713736534;-68.0488967896;
2.3988327980;-68.4860000610;
2.4266099930;-68.8511123657;
2.4547088146;-69.0994949341;
2.4831330776;-69.3154678345;
2.5118863583;-69.3052368164;
2.5409727097;-69.2950057983;
2.5703957081;-69.2816619873;
2.6001594067;-69.2680740356;
2.6302678585;-69.4458541870;
2.6607251167;-69.6771469116;
2.6915347576;-70.1584930420;
2.7227013111;-70.7530364990;
2.7542285919;-71.5963516235;
2.7861211300;-72.5768814087;
